City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,miramichi,47.0043,-65.4654,7.93,77,100,2.95,CA,1712874307
1,port mathurin,-19.6833,63.4167,26.71,77,4,5.04,MU,1712873837
2,waitangi,-43.9535,-176.5597,17.68,93,100,4.47,NZ,1712873896
3,puerto ayora,-0.7393,-90.3518,28.98,97,48,4.47,EC,1712874310
4,bethel,41.3712,-73.414,15.27,88,100,1.54,US,1712874185
5,bredasdorp,-34.5322,20.0403,13.91,71,3,4.45,ZA,1712873819
6,edinburgh of the seven seas,-37.0676,-12.3116,18.45,95,76,7.38,SH,1712873827
7,puerto natales,-51.7236,-72.4875,4.5,89,20,2.47,CL,1712874154
8,shingu,33.7333,135.9833,14.2,84,100,3.67,JP,1712874312
9,namibe,-15.1961,12.1522,22.68,72,0,2.55,AO,1712873677
10,grytviken,-54.2811,-36.5092,-1.31,70,13,4.31,GS,1712873762
11,badger,64.8,-147.5333,6.31,44,75,4.12,US,1712874166
12,olonkinbyen,70.9221,-8.7187,-8.43,88,100,6.79,SJ,1712874226
13,albany,42.6001,-73.9662,15.37,79,100,0.89,US,1712873886
14,margaret river,-33.95,115.0667,11.57,88,5,5.25,AU,1712874142
15,kosh-agach,50.0,88.6667,-0.39,68,100,4.47,RU,1712874316
16,fort bragg,35.139,-79.006,21.57,88,100,5.66,US,1712874132
17,pechora,65.1472,57.2244,1.03,98,100,9.83,RU,1712874318
18,tromso,69.6496,18.957,2.01,87,100,4.63,NO,1712874318
19,vilyuysk,63.7553,121.6247,-18.89,96,82,2.68,RU,1712874163
20,tazovsky,67.4667,78.7,-22.54,95,53,6.22,RU,1712874034
21,port-aux-francais,-49.35,70.2167,5.9,89,100,3.34,TF,1712873777
22,crane,31.3974,-102.3501,26.53,14,0,5.34,US,1712874157
23,yellowknife,62.456,-114.3525,4.67,69,74,3.13,CA,1712873829
24,ilulissat,69.2167,-51.1,-5.99,79,100,1.54,GL,1712874184
25,katsuren-haebaru,26.3369,127.8719,21.16,92,0,2.57,JP,1712874323
26,derzhavinsk,51.1,66.3167,1.14,74,9,3.09,KZ,1712874323
27,nha trang,12.25,109.1833,26.0,87,60,2.28,VN,1712874324
28,mount pearl,47.5166,-52.7813,3.8,76,0,5.14,CA,1712874125
29,rongelap,11.1635,166.8941,26.91,80,100,9.15,MH,1712874049
30,ribeira grande,38.5167,-28.7,15.99,93,97,1.79,PT,1712874157
31,glen innes,-29.7333,151.7333,12.81,68,0,1.3,AU,1712874318
32,aripuana,-9.1667,-60.6333,25.64,95,100,0.81,BR,1712874327
